ITEMNAME,10000
ABLNAME,10000
MARKNAME,100
PALAMNAME,200
TRAINNAME,10000
SOURCENAME,1000
EQUIPNAME,100
TEQUIPNAME,1000
FLAGNAME,10000
TFLAGNAME,1000
STR,20000
DAY,1000
MONEY,1000
ITEM,10000
FLAG,10000
TFLAG,1000
UP,1000
PALAMLV,1000
EXPLV,1000
EJAC,1000
DOWN,1000
RESULT,1000
COUNT,1000
TARGET,1000
ASSI,1000
MASTER,1000
NOITEM,10000
LOSEBASE,1000
SELECTCOM,1000
ASSIPLAY,1000
PREVCOM,1000
TIME,1000
ITEMSALES,10000
PLAYER,1000
NEXTCOM,1000
PBAND,5000
BOUGHT,1000
A,1000
B,1000
C,1000
D,1000
E,1000
F,1000
G,1000
H,1000
I,1000
J,1000
K,1000
L,1000
M,1000
N,1000
O,1000
P,1000
Q,1000
R,1000
S,1000
T,1000
U,1000
V,1000
W,1000
X,1000
Y,1000
Z,1000
SAVESTR,100
RESULTS,100
BASE,1000
MAXBASE,1000
ABL,10000
TALENT,10000
EXP,10000
MARK,100
PALAM,200
SOURCE,1000
EX,10000
CFLAG,9999
JUEL,200
RELATION,1000
EQUIP,100
TEQUIP,1000
STAIN,100
GOTJUEL,200
NOWEX,100
CSTR,1000
CUP,100
CDOWN,100
DOWNBASE,100
TSTR,100
TCVAR,1000
LOCAL,10000
LOCALS,100
ARG,1000
ARGS,100
GLOBAL,8000
GLOBALS,100
