;调教后可以提升的等级
;部位等级0-10级
1,Ｍ感觉
2,Ｂ感觉
3,Ｎ感觉
4,Ｈ感觉
5,Ｃ感觉
6,Ｕ感觉
7,Ｖ感觉
8,Ａ感觉
9,Ｆ感觉
10,Ｓ感觉

;0-10级
;性技
51,Ｍ技巧
52,Ｂ技巧
53,Ｎ技巧
54,Ｈ技巧
55,Ｃ技巧
56,Ｕ技巧
57,Ｖ技巧
58,Ａ技巧
59,Ｆ技巧
60,Ｓ技巧
61,腰技巧
62,道具技巧
63,寸止技巧
64,忍耐技巧

101,Ｍ耐性
102,Ｂ耐性
103,Ｎ耐性
104,Ｈ耐性
105,Ｃ耐性
106,Ｕ耐性
107,Ｖ耐性
118,Ａ耐性
119,Ｆ耐性
120,Ｓ耐性

;精神
151,信赖
152,欲望
153,服从
154,献身

;扩张
201,喉扩张
202,Ｎ扩张
203,Ｕ扩张
204,Ｖ扩张
205,Ａ扩张

;性器年龄
221,Ｍ年龄
222,Ｂ年龄
223,Ｎ年龄
224,Ｈ年龄
225,Ｃ年龄
226,Ｕ年龄
227,Ｖ年龄
228,Ａ年龄
229,Ｆ年龄
230,Ｓ年龄



;名器
251,Ｍ名器
252,Ｂ名器
253,Ｎ名器
254,Ｂ名器
255,Ｎ名器
256,Ｈ名器
257,Ｃ名器
258,Ｕ名器
259,Ｖ名器
260,Ａ名器
261,Ｆ名器
262,Ｓ名器


301,露出癖
302,自慰癖
303,扩张癖
304,漏尿癖
305,脱粪癖
306,宫脱癖
307,肛脱癖

401,气味癖
402,精液癖
403,喷乳癖
404,药物癖
405,媚药癖
406,尿液癖
